,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
2022-09,BTCUSDT,ETHUSDT,BNBUSDT,ETCUSDT,SOLUSDT,SHIBUSDT,ADAUSDT,DOGEUSDT,XRPUSDT,MATICUSDT,AVAXUSDT,CHZUSDT,NEARUSDT,OPUSDT,APEUSDT,GMTUSDT,FILUSDT,DOTUSDT,LINKUSDT,ATOMUSDT,GALAUSDT,SANDUSDT,FTMUSDT,TRXUSDT,EOSUSDT,LTCUSDT,RUNEUSDT,WAVESUSDT,UNFIUSDT,ROSEUSDT
2022-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ETCUSDT,SOLUSDT,ADAUSDT,CHZUSDT,ATOMUSDT,SHIBUSDT,MATICUSDT,LINKUSDT,APEUSDT,DOGEUSDT,NEARUSDT,DOTUSDT,AVAXUSDT,LTCUSDT,TRXUSDT,RVNUSDT,OPUSDT,EOSUSDT,GMTUSDT,SANDUSDT,FILUSDT,FTMUSDT,SANTOSUSDT,LDOUSDT,GALAUSDT,VGXUSDT
2022-11,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,BNBUSDT,SOLUSDT,SHIBUSDT,MATICUSDT,LUNCUSDT,ADAUSDT,CHZUSDT,TRXUSDT,ATOMUSDT,LINKUSDT,ETCUSDT,AVAXUSDT,NEARUSDT,DOTUSDT,APEUSDT,QNTUSDT,LTCUSDT,GALAUSDT,SANDUSDT,ENSUSDT,KLAYUSDT,JASMYUSDT,GMTUSDT,REEFUSDT,SUSHIUSDT,UNIUSDT
2022-12,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CHZUSDT,LTCUSDT,LINKUSDT,ADAUSDT,SHIBUSDT,MASKUSDT,TRXUSDT,ATOMUSDT,APEUSDT,ALGOUSDT,NEARUSDT,DOTUSDT,DYDXUSDT,AVAXUSDT,ETCUSDT,TWTUSDT,GALAUSDT,LUNCUSDT,SANDUSDT,FTMUSDT,OPUSDT,PEOPLEUSDT,FILUSDT
2023-01,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,LTCUSDT,MATICUSDT,SOLUSDT,LINKUSDT,ADAUSDT,TRXUSDT,SHIBUSDT,APEUSDT,TWTUSDT,APTUSDT,CHZUSDT,DOTUSDT,MASKUSDT,FILUSDT,ATOMUSDT,LUNCUSDT,FTMUSDT,SANDUSDT,OPUSDT,AXSUSDT,AVAXUSDT,NEARUSDT,YFIIUSDT,DYDXUSDT,XMRUSDT
2023-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,APTUSDT,DOGEUSDT,BNBUSDT,MATICUSDT,GALAUSDT,LTCUSDT,SHIBUSDT,OPUSDT,AVAXUSDT,ADAUSDT,FTMUSDT,LDOUSDT,SANDUSDT,NEARUSDT,FILUSDT,APEUSDT,HOOKUSDT,LINKUSDT,DOTUSDT,GMTUSDT,TRXUSDT,MANAUSDT,ETCUSDT,ATOMUSDT,AXSUSDT,DYDXUSDT
2023-03,BTCUSDT,ETHUSDT,MATICUSDT,BNBUSDT,APTUSDT,DOGEUSDT,XRPUSDT,SOLUSDT,FTMUSDT,OPUSDT,FILUSDT,SHIBUSDT,LDOUSDT,DYDXUSDT,LTCUSDT,HOOKUSDT,FETUSDT,AVAXUSDT,LINKUSDT,GALAUSDT,MAGICUSDT,DOTUSDT,ADAUSDT,GRTUSDT,SANDUSDT,TRXUSDT,HIGHUSDT,CFXUSDT,RNDRUSDT,NEARUSDT
2023-04,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,MATICUSDT,CFXUSDT,SOLUSDT,LTCUSDT,APTUSDT,FTMUSDT,DOGEUSDT,FILUSDT,OPUSDT,ADAUSDT,MAGICUSDT,LDOUSDT,MASKUSDT,STXUSDT,SHIBUSDT,DYDXUSDT,GALAUSDT,TRXUSDT,LINKUSDT,TRUUSDT,FETUSDT,DOTUSDT,AVAXUSDT,ATOMUSDT,HOOKUSDT,ACHUSDT
2023-05,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CFXUSDT,LTCUSDT,ADAUSDT,APTUSDT,FTMUSDT,INJUSDT,GALAUSDT,SHIBUSDT,FILUSDT,LINKUSDT,SXPUSDT,RNDRUSDT,AVAXUSDT,DYDXUSDT,ATOMUSDT,TRXUSDT,OPUSDT,DOTUSDT,FETUSDT,MASKUSDT,AGIXUSDT,OGUSDT,LDOUSDT
2023-06,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ARBUSDT,LTCUSDT,SOLUSDT,MATICUSDT,DOGEUSDT,CFXUSDT,RNDRUSDT,ADAUSDT,FTMUSDT,TRXUSDT,APTUSDT,GALAUSDT,IDUSDT,ARPAUSDT,OPUSDT,LINAUSDT,RADUSDT,INJUSDT,AGIXUSDT,FILUSDT,LDOUSDT,SHIBUSDT,AVAXUSDT,ATOMUSDT,LINKUSDT,JASMYUSDT
