,g_sep,g_net,t_sep,t_net,fund_delta_b3
2022-07-30,0.3834688370442422,0.36214624852960337,0.28217485839376766,0.2563647169309533,-0.0001159713958303862
2022-07-31,0.37620982449888285,0.3556613516705451,0.007481938342456942,0.0066397025613301784,-6.115321861319031e-05
2022-08-01,0.2845299931334522,0.2649238164555391,0.10029151029579401,0.09807579675637594,-5.161170849370121e-05
2022-08-02,0.25022611989557314,0.23881428976717592,0.14298670906449285,0.13227477872194915,-2.2056203231126152e-05
2022-08-03,0.2836122152086591,0.28361221520865915,0.049411080491120696,0.049316393963534724,-6.872304667551533e-06
2022-08-04,0.24418702295962882,0.24418702295962894,0.0761140271182645,0.07588177732702607,-3.734560929270662e-06
2022-08-05,0.23652290469314993,0.2365229046931499,0.04894451469326164,0.04893954281723119,1.065157861925845e-05
2022-08-06,0.25297553466238126,0.25297553466238126,0.10818691168362994,0.10712148572813189,-3.9976280424381434e-05
2022-08-07,0.6649878591294527,0.6649878591294527,0.4341201200035102,0.4341201200035102,-1.7200420415605867e-05
2022-08-08,0.7711037891831007,0.7529245694368067,0.16381216269368282,0.15456548981499968,-1.373400312947156e-05
2022-08-09,0.3427260246884945,0.3172786593501073,0.5936064101773092,0.5873025608932756,6.096741753112705e-06
2022-08-10,0.34193986797003717,0.31593879113527457,0.011723950929260329,0.010720716499419226,-1.1333093934623283e-06
2022-08-11,0.37705956464950985,0.3600897800523457,0.09898612226410548,0.098983735938047,-3.3662889291288595e-05
2022-08-12,0.3806835824354433,0.3635393111548687,0.0037254369591467654,0.003550950275736382,-1.963914111759166e-05
2022-08-13,0.4351895881244667,0.39858574149718995,0.21983089342556622,0.21983089342556617,-7.293861454627186e-05
2022-08-14,0.6549755374277962,0.6549755374277961,0.3430477320240464,0.33590712903142245,-5.502879762448855e-05
2022-08-15,0.5842258690643769,0.5743580360368291,0.15271312778025942,0.13564284367901389,1.9875790451308397e-05
2022-08-16,0.38375754629740233,0.3743754163558512,0.20046832276697463,0.19998261968097794,9.023580307907452e-06
2022-08-17,0.23643951579407574,0.2364395157940757,0.19627204449710609,0.18862851380314316,-8.822753779914644e-06
2022-08-18,0.23813339382725193,0.238133393827252,0.005913304053304383,0.0059133040533043794,-2.1676097622302437e-05
2022-08-19,0.22923862690958713,0.22923862690958716,0.129975655321608,0.12997565532160799,2.336225459902886e-05
2022-08-20,0.22285511466049565,0.22285511466049565,0.14443875895542382,0.14443100591287708,1.225200193027141e-05
2022-08-21,0.2270544244400743,0.22705442444007418,0.004332685664087937,0.0043326856640879385,1.3297861330420289e-05
2022-08-22,0.26100400001694024,0.25290902573384433,0.034033659110716194,0.033817219841109684,-6.831012906216501e-05
2022-08-23,0.27023796712548676,0.26205726716051647,0.06831563366081417,0.06809298340437633,-2.2086147139860847e-05
