,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2023-04,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,MATICUSDT,CFXUSDT,SOLUSDT,LTCUSDT,APTUSDT,FTMUSDT,DOGEUSDT,FILUSDT,OPUSDT,ADAUSDT,MAGICUSDT,LDOUSDT,MASKUSDT,STXUSDT,SHIBUSDT,DYDXUSDT
2023-05,BTCUSDT,ETHUSDT,DOGEUSDT,BNBUSDT,XRPUSDT,SOLUSDT,MATICUSDT,CFXUSDT,LTCUSDT,ADAUSDT,APTUSDT,FTMUSDT,INJUSDT,GALAUSDT,SHIBUSDT,FILUSDT,LINKUSDT,SXPUSDT,RNDRUSDT,AVAXUSDT
2023-06,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,ARBUSDT,LTCUSDT,SOLUSDT,MATICUSDT,DOGEUSDT,CFXUSDT,RNDRUSDT,ADAUSDT,FTMUSDT,TRXUSDT,APTUSDT,GALAUSDT,IDUSDT,ARPAUSDT,OPUSDT,LINAUSDT
2023-07,BTCUSDT,ETHUSDT,BNBUSDT,XRPUSDT,LTCUSDT,ARBUSDT,SOLUSDT,MATICUSDT,SUIUSDT,DOGEUSDT,ADAUSDT,LINAUSDT,PEPEUSDT,OPUSDT,APTUSDT,TRXUSDT,CFXUSDT,BCHUSDT,RNDRUSDT,FTMUSDT
2023-08,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT,LTCUSDT,DOGEUSDT,ARBUSDT,MATICUSDT,BCHUSDT,ADAUSDT,LINKUSDT,OPUSDT,COMPUSDT,TRXUSDT,FILUSDT,SHIBUSDT,XVGUSDT,SUIUSDT,AVAXUSDT
2023-09,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,SOLUSDT,DOGEUSDT,SHIBUSDT,LTCUSDT,MATICUSDT,OPUSDT,ARBUSDT,LINKUSDT,SUIUSDT,YGGUSDT,BCHUSDT,TRXUSDT,RUNEUSDT,ADAUSDT,CRVUSDT,APTUSDT
2023-10,BTCUSDT,ETHUSDT,XRPUSDT,BNBUSDT,CYBERUSDT,SOLUSDT,WLDUSDT,LTCUSDT,ARBUSDT,LINKUSDT,DOGEUSDT,HIFIUSDT,MATICUSDT,TRBUSDT,TRXUSDT,BLZUSDT,BCHUSDT,UNFIUSDT,SEIUSDT,SUIUSDT
2023-11,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT,LINKUSDT,DOGEUSDT,LOOMUSDT,MATICUSDT,ARBUSDT,TRBUSDT,LTCUSDT,TRXUSDT,RUNEUSDT,AVAXUSDT,APTUSDT,GALAUSDT,BCHUSDT,ADAUSDT,SHIBUSDT
2023-12,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,LINKUSDT,DOGEUSDT,AVAXUSDT,MATICUSDT,GASUSDT,RUNEUSDT,ARBUSDT,FTTUSDT,DYDXUSDT,ADAUSDT,GALAUSDT,CAKEUSDT,WLDUSDT,ARKUSDT,NEARUSDT
2024-01,BTCUSDT,ETHUSDT,SOLUSDT,ORDIUSDT,AVAXUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,ADAUSDT,MATICUSDT,TIAUSDT,ARBUSDT,LUNCUSDT,INJUSDT,OPUSDT,LINKUSDT,DOTUSDT,NEARUSDT,SEIUSDT,MEMEUSDT
2024-02,BTCUSDT,ETHUSDT,SOLUSDT,ARBUSDT,BNBUSDT,ORDIUSDT,XRPUSDT,SEIUSDT,SUIUSDT,TIAUSDT,OPUSDT,AVAXUSDT,MATICUSDT,LINKUSDT,INJUSDT,DOGEUSDT,ICPUSDT,1000SATSUSDT,ADAUSDT,TRBUSDT
2024-03,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,LINKUSDT,SUIUSDT,ORDIUSDT,ARBUSDT,WLDUSDT,FILUSDT,SEIUSDT,MATICUSDT,ADAUSDT,AVAXUSDT,RNDRUSDT,AIUSDT,XAIUSDT,INJUSDT
2024-04,BTCUSDT,ETHUSDT,SOLUSDT,SHIBUSDT,BNBUSDT,DOGEUSDT,PEPEUSDT,FLOKIUSDT,XRPUSDT,AVAXUSDT,WLDUSDT,ARBUSDT,NEARUSDT,FETUSDT,ORDIUSDT,BONKUSDT,RNDRUSDT,FTMUSDT,FILUSDT,SUIUSDT
2024-05,BTCUSDT,ETHUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,PEPEUSDT,SHIBUSDT,WIFUSDT,BOMEUSDT,XRPUSDT,ORDIUSDT,NEARUSDT,WLDUSDT,BCHUSDT,FETUSDT,FLOKIUSDT,LTCUSDT,ARBUSDT,RUNEUSDT,AVAXUSDT
2024-06,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,DOGEUSDT,WIFUSDT,SHIBUSDT,BNBUSDT,BONKUSDT,BOMEUSDT,FLOKIUSDT,XRPUSDT,RNDRUSDT,ENAUSDT,ARBUSDT,NEARUSDT,WLDUSDT,TRBUSDT,RUNEUSDT,PEOPLEUSDT
2024-07,BTCUSDT,ETHUSDT,NOTUSDT,SOLUSDT,PEPEUSDT,BNBUSDT,WIFUSDT,PEOPLEUSDT,FLOKIUSDT,DOGEUSDT,SHIBUSDT,XRPUSDT,BONKUSDT,ORDIUSDT,BOMEUSDT,WLDUSDT,JASMYUSDT,FETUSDT,BBUSDT,NEARUSDT
2024-08,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,XRPUSDT,WIFUSDT,BNBUSDT,DOGEUSDT,BONKUSDT,NOTUSDT,SHIBUSDT,FLOKIUSDT,1000SATSUSDT,BOMEUSDT,WLDUSDT,PEOPLEUSDT,NEARUSDT,AVAXUSDT,ARBUSDT,ORDIUSDT
2024-09,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,PEPEUSDT,BNBUSDT,WIFUSDT,1000SATSUSDT,DOGEUSDT,FLOKIUSDT,NOTUSDT,BOMEUSDT,TRXUSDT,SHIBUSDT,SUIUSDT,FETUSDT,BONKUSDT,NEARUSDT,RUNEUSDT,AVAXUSDT
2024-10,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,PEPEUSDT,SUIUSDT,WIFUSDT,XRPUSDT,DOGEUSDT,1000SATSUSDT,FETUSDT,SHIBUSDT,NEARUSDT,FLOKIUSDT,AVAXUSDT,FTMUSDT,TONUSDT,AAVEUSDT,BOMEUSDT,ORDIUSDT
2024-11,BTCUSDT,ETHUSDT,SOLUSDT,PEPEUSDT,NEIROUSDT,DOGEUSDT,SUIUSDT,BNBUSDT,WIFUSDT,XRPUSDT,SHIBUSDT,WLDUSDT,BOMEUSDT,APTUSDT,FETUSDT,BONKUSDT,FLOKIUSDT,TAOUSDT,SEIUSDT,ENAUSDT
2024-12,BTCUSDT,ETHUSDT,DOGEUSDT,SOLUSDT,XRPUSDT,PEPEUSDT,BNBUSDT,SHIBUSDT,SUIUSDT,ADAUSDT,NEIROUSDT,WIFUSDT,BONKUSDT,FLOKIUSDT,AVAXUSDT,WLDUSDT,NEARUSDT,BOMEUSDT,FETUSDT,TRXUSDT
2025-01,BTCUSDT,ETHUSDT,XRPUSDT,DOGEUSDT,SOLUSDT,PEPEUSDT,BNBUSDT,SUIUSDT,TRXUSDT,SHIBUSDT,HBARUSDT,ADAUSDT,LINKUSDT,PNUTUSDT,AVAXUSDT,WIFUSDT,ENAUSDT,WLDUSDT,NEIROUSDT,LTCUSDT
2025-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,SUIUSDT,PEPEUSDT,BNBUSDT,ADAUSDT,HBARUSDT,ENAUSDT,LINKUSDT,TRXUSDT,LTCUSDT,WIFUSDT,SHIBUSDT,WLDUSDT,XLMUSDT,PENGUUSDT,PNUTUSDT
2025-03,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,SUIUSDT,LTCUSDT,PEPEUSDT,ADAUSDT,HBARUSDT,RUNEUSDT,OMUSDT,ENAUSDT,LINKUSDT,TRXUSDT,WIFUSDT,TAOUSDT,AVAXUSDT,SHIBUSDT
2025-04,BTCUSDT,ETHUSDT,XRPUSDT,SOLUSDT,BNBUSDT,ADAUSDT,DOGEUSDT,TRUMPUSDT,SUIUSDT,PEPEUSDT,LTCUSDT,TRXUSDT,HBARUSDT,LINKUSDT,ENAUSDT,PNUTUSDT,AVAXUSDT,SUSDT,AAVEUSDT,WIFUSDT
2025-05,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,SUIUSDT,BNBUSDT,PEPEUSDT,TRUMPUSDT,ADAUSDT,OMUSDT,TRXUSDT,LTCUSDT,EOSUSDT,AVAXUSDT,LINKUSDT,ENAUSDT,HBARUSDT,CRVUSDT,SHIBUSDT
2025-06,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,PEPEUSDT,DOGEUSDT,SUIUSDT,BNBUSDT,TRUMPUSDT,ADAUSDT,WIFUSDT,ENAUSDT,VIRTUALUSDT,PNUTUSDT,LTCUSDT,BONKUSDT,TRXUSDT,NEIROUSDT,AVAXUSDT,SHIBUSDT
2025-07,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,PEPEUSDT,BNBUSDT,SUIUSDT,ADAUSDT,UNIUSDT,AAVEUSDT,ENAUSDT,WIFUSDT,TRXUSDT,VIRTUALUSDT,TRUMPUSDT,NEIROUSDT,AVAXUSDT,SEIUSDT,LTCUSDT
2025-08,ETHUSDT,BTCUSDT,XRPUSDT,SOLUSDT,DOGEUSDT,BNBUSDT,PEPEUSDT,SUIUSDT,BONKUSDT,PENGUUSDT,ENAUSDT,ADAUSDT,UNIUSDT,LTCUSDT,HBARUSDT,TRXUSDT,XLMUSDT,WIFUSDT,FLOKIUSDT,AVAXUSDT
2025-09,ETHUSDT,BTCUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,BNBUSDT,ADAUSDT,ENAUSDT,SUIUSDT,LINKUSDT,PEPEUSDT,PENGUUSDT,LTCUSDT,UNIUSDT,BONKUSDT,TRXUSDT,AVAXUSDT,HBARUSDT,ARBUSDT,AAVEUSDT
2025-10,ETHUSDT,BTCUSDT,SOLUSDT,DOGEUSDT,XRPUSDT,BNBUSDT,SUIUSDT,AVAXUSDT,ENAUSDT,WLDUSDT,ADAUSDT,PEPEUSDT,PENGUUSDT,LTCUSDT,LINKUSDT,BONKUSDT,TRXUSDT,NEARUSDT,ARBUSDT,HBARUSDT
2025-11,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,SUIUSDT,ZECUSDT,ADAUSDT,LTCUSDT,LINKUSDT,AVAXUSDT,ENAUSDT,PUMPUSDT,TAOUSDT,PEPEUSDT,TRUMPUSDT,CAKEUSDT,PENGUUSDT,HBARUSDT
2025-12,BTCUSDT,ETHUSDT,SOLUSDT,ZECUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,ASTERUSDT,SUIUSDT,ICPUSDT,LTCUSDT,DASHUSDT,UNIUSDT,ADAUSDT,ZENUSDT,FILUSDT,TRUMPUSDT,NEARUSDT,TAOUSDT,TRXUSDT
2026-01,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,ZECUSDT,DOGEUSDT,SUIUSDT,ADAUSDT,ASTERUSDT,TRXUSDT,BCHUSDT,LTCUSDT,AVAXUSDT,LINKUSDT,UNIUSDT,PEPEUSDT,ENAUSDT,NEARUSDT,XPLUSDT
2026-02,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,DOGEUSDT,ZECUSDT,SUIUSDT,PEPEUSDT,LTCUSDT,ADAUSDT,DASHUSDT,BCHUSDT,TRXUSDT,PUMPUSDT,AVAXUSDT,BONKUSDT,ASTERUSDT,TAOUSDT,NEARUSDT
2026-03,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,DOGEUSDT,ZECUSDT,SUIUSDT,ADAUSDT,LTCUSDT,PEPEUSDT,TRXUSDT,ASTERUSDT,BCHUSDT,WLFIUSDT,AVAXUSDT,LINKUSDT,UNIUSDT,TAOUSDT,AAVEUSDT
2026-04,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,BNBUSDT,DOGEUSDT,TAOUSDT,ZECUSDT,SUIUSDT,ADAUSDT,TRXUSDT,PEPEUSDT,NEARUSDT,LTCUSDT,TRUMPUSDT,LINKUSDT,KITEUSDT,AVAXUSDT,FETUSDT,WLDUSDT
2026-05,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,DOGEUSDT,BNBUSDT,ZECUSDT,TAOUSDT,币安人生USDT,SUIUSDT,PEPEUSDT,ADAUSDT,TONUSDT,STOUSDT,TRXUSDT,AAVEUSDT,BARDUSDT,PENGUUSDT,LTCUSDT,AVAXUSDT
2026-06,BTCUSDT,ETHUSDT,SOLUSDT,BNBUSDT,XRPUSDT,DOGEUSDT,ZECUSDT,SUIUSDT,NEARUSDT,TONUSDT,TAOUSDT,XLMUSDT,ONDOUSDT,TRXUSDT,WLDUSDT,LINKUSDT,LTCUSDT,ADAUSDT,AVAXUSDT,PENGUUSDT
